Creating SCHEME file: /home/pabbeel/rll/code/trunk/surgical/threadenergy/SCHEME
pdsopt: factor  =           16
        beta    =           2

		 PDS Iteration Summary

  Iter    F(x)       ||edge||    step   fevals    jbest

    0        923.7            1              3       0
    1        835.6            1    1        23       1
    2        835.6         0.25    0        43       1
    3        835.6       0.0625    0        63       1
    4        791.9      0.03125    1        83       1
    5        767.7       0.0625    1       103       0
    6        767.7      0.01562    0       123       0
    7        762.3     0.007812    1       143       2
    8        759.8      0.01562    1       163       0
    9        753.8      0.03125    1       183       2
   10          726       0.0625    1       203       2
   11          726      0.01562    0       223       2
   12        699.3      0.01562    1       243       1
