Creating SCHEME file: /home/pabbeel/rll/code/trunk/surgical/threadenergy/SCHEME
pdsopt: factor  =            8
        beta    =           2

		 PDS Iteration Summary

  Iter    F(x)       ||edge||    step   fevals    jbest

    0        11.59            1              6       0
    1        11.47          0.5    1        36       0
    2        11.39         0.25    1        66       2
    3        10.91         0.25    1        96       4
    4        10.91        0.125    0       126       4
    5        10.91       0.0625    0       156       4
    6        10.91      0.03125    0       186       4
    7        10.91      0.01562    0       216       4
    8        10.91     0.007812    0       246       4
    9        10.91     0.003906    0       276       4
   10        10.91     0.001953    0       306       4
   11        10.91    0.0009766    0       336       4
   12        10.91    0.0004883    0       366       4
   13        10.91    0.0002441    0       396       4
   14        10.91    0.0001221    0       426       4
   15        10.91    6.104e-05    0       456       4
   16        10.91    3.052e-05    0       486       4
   17        10.91    1.526e-05    0       516       4
   18        10.91    7.629e-06    0       546       4
pdsdone: Step tolerance passed

