Creating SCHEME file: /home/pabbeel/rll/code/trunk/surgical/threadenergy/SCHEME
pdsopt: factor  =            8
        beta    =           2

		 PDS Iteration Summary

  Iter    F(x)       ||edge||    step   fevals    jbest

    0        11.88            1              6       2
    1        11.83          0.5    1        36       2
    2        11.66            1    1        66       0
    3        11.38          0.5    1        96       2
    4        10.22            1    1       126       4
    5        7.194          0.5    1       156       0
    6        7.194         0.25    0       186       0
    7        7.152        0.125    1       216       3
    8        6.637       0.0625    1       246       0
    9        6.204       0.0625    1       276       2
   10        5.876      0.03125    1       306       5
   11         5.66       0.0625    1       336       2
   12         5.66      0.03125    0       366       2
   13        5.659      0.01562    1       396       3
   14        5.536      0.03125    1       426       4
   15        5.536      0.01562    0       456       4
   16        5.536     0.007812    0       486       4
   17        5.536     0.003906    0       516       4
   18        5.523     0.007812    1       546       3
   19        5.523     0.003906    0       576       3
   20        5.523     0.001953    0       606       3
pdsdone: Step tolerance passed

