55.92222222222223138  17
61.903800964355475855 36.604900360107421875 60.935901641845703125   64.807845135440985018 38.484626340673990796 60.438406596388169589   67.646463388041681242 40.418719055696513465 59.795170426002215436   70.404783784137137559 42.409984011867479126 58.994387792395606596   73.141491102046600759 44.414591579235185748 58.153926976997581733   75.959650855886721388 46.349505425406640313 57.427224275565116329   78.58604036477557031 48.453662356217328977 56.50001734194924552   80.380662805161620099 51.053730532249446128 55.055065934869709565   81.255678605654551916 53.945386080647224958 53.313495494071815983   81.561866633476910238 56.87287366635302277 51.431688272462906752   81.471579369610736876 59.715218470454743738 49.40577159144973507   81.052089415517684756 62.437169603804015594 47.254119987016927951   80.769146330998452754 65.215414715511158761 45.154068429833799314   80.766136228797975605 68.090895737111480912 43.168399886562468737   80.789175982200418957 70.974666305937120114 41.193853805117555567   80.65656032151304089 73.809109964424635564 39.154163368846845117   80.426486088624528747 76.609670980672234464 37.075755889899113527   61.903800964355475855 36.604900360107421875 60.935901641845703125   80.426486088624542958 76.609670980672262885 37.075755889899113527   0.83813328459801705872 0.53098995491851042061 -0.12482894305639753718   -0.071042308270342205412 0.79934928996937482104 -0.59665207873691206153   
62.10380172729492898 35.804897308349609375 61.435901641845703125   65.457598476595293846 36.721841478826917182 61.777313512497279646   68.7700890981148234 37.827739744752356899 61.901403481635249193   72.034495439808452488 39.073066012008958126 61.834691180424201207   75.25072210744367851 40.414100980069349589 61.57713847660824058   78.38971305602970574 41.792735795168148627 60.914408981314586811   81.439256872005003629 43.029150888758699978 59.744574369387741797   84.428893446863938266 44.087059585829017294 58.276130080758129282   87.404856794288534161 45.087137269792762595 56.740075028342843666   90.378353139688428541 46.049744550120216502 55.175765312069913193   93.349447737734976727 46.875969106992130264 53.531910839402129909   96.31960553634309008 47.490518456802973901 51.796485851807005929   99.287194894295055292 47.879552948547072333 49.992814195163298052   102.2456235820371262 48.015545629083689505 48.138490866123966327   105.17900704815539825 47.85405445432051863 46.247169178224993402   108.07006128018014124 47.404631576600728238 44.336527961069435833   110.92362371305176794 46.770374214235282295 42.420821067593848852   62.10380172729492898 35.804897308349609375 61.435901641845703125   110.92362371305176794 46.770374214235282295 42.420821067593848852   0.96458485490408607532 0.22677517126143520443 0.13471851910190404955   0.81305686996724180204 -0.19595944808317103392 -0.54821384596342626061   
62.10380172729491477 35.804897308349609375 61.435901641845703125   65.239894328639891796 37.34739752907167798 61.397067282771651264   68.377919718497722101 38.885662906839939978 61.346761255126253332   71.519512989499148148 40.415586249342744907 61.274239173828583205   74.681599725998268013 41.885959512395118054 61.050074054326508133   77.864444978897950023 43.21949791636735938 60.51416901602777898   81.025111102898236481 44.311601121399419867 59.506185054810117663   84.140638754523365606 45.239781344665424001 58.223148414978474818   87.232773514110505175 46.098984314041935306 56.839365885281253554   90.298454880566964675 46.882382534355336645 55.355212595432128353   93.32937640872250995 47.570091248092822411 53.75708020152504929   96.320132275195632587 48.154075448774804613 52.045777318024228464   99.275527879961870781 48.652328678228236924 50.247858572738834937   102.20618361266609497 49.093331715902365886 48.395325051290562612   105.09567151263057383 49.444526415717234613 46.460967754578838651   107.93682628772837973 49.698409122591215237 44.441498037817517286   110.74145878739422244 49.883757640474215123 42.364188050186022849   62.10380172729491477 35.804897308349609375 61.435901641845703125   110.74145878739422244 49.883757640474215123 42.364188050186022849   0.89645458551130452474 0.44309054733635522272 -0.0063200456426619521302   0.79831481289181238648 0.04557046458957907803 -0.60051377359274804579   
62.103801727294921875 35.804897308349609375 61.435901641845703125   65.194416017278655318 37.435896882402701635 61.373954628947387846   68.286239547332897359 39.064324700709406102 61.304527311586156202   71.389659623361467311 40.665560334899915063 61.165633672041074931   74.519222186785597728 42.184707432694054319 60.838804283044595422   77.673296300616186727 43.532705846137666583 60.178357695410717554   80.81978120597945292 44.670562220637549444 59.173186863910579802   83.934932854216640408 45.638387227047637396 57.920000195616623273   87.019984872642950791 46.488111666797060195 56.514802678704036509   90.088940252032756462 47.272927381591244966 55.037864133505316033   93.143093565488243257 47.976721926021831166 53.491555269222729407   96.181253719566186078 48.572367001965538691 51.870016443533224049   99.20622045717958315 49.043337305599095544 50.184262708181087476   102.21815658817057226 49.352679087812319381 48.439135186017374224   105.20989408420648203 49.421174174510994703 46.636394939703293971   108.15578191561758103 49.133098039614203856 44.779767202065563936   111.05987395124228101 48.622655248903463132 42.90354348544855867   62.103801727294921875 35.804897308349609375 61.435901641845703125   111.05987395124228101 48.622655248903470238 42.903543485448544459   0.883473123819284889 0.46830391282442773715 -0.012910643761081081263   0.82689237263385262366 -0.16406925301192254452 -0.53789430587808551021   
61.203800201416015625 35.604900360107421875 61.33589935302734375   64.11758217792758785 37.507083361176135838 61.663438334201117641   67.05210561579885109 39.369320138664690489 62.031388912772825961   69.933485649584525845 41.330834696793395722 62.276215846908613116   72.768621536119837856 43.37048267087097031 62.407100260591221286   75.566261462759825918 45.463089169598013939 62.39874481306858911   78.232476698049666197 47.661729911344416166 61.910939736988432003   80.696283891487766482 49.92048139483493685 60.894652373743163309   83.049727652266795985 52.194782527230103142 59.66837825700738307   85.356256654413627416 54.476241015263816792 58.368186647577161352   87.61358256588231086 56.766676035857663862 56.999344701253178869   89.855671753595757423 59.059908608685546483 55.610192058043118379   92.031120013188711937 61.364912833617310639 54.137800439104751149   94.390156318515181511 63.630947030332123404 52.910502219084925457   96.819597733210315482 65.876925090983320388 51.787185210043006123   99.012917993604759204 68.190035653381428915 50.358462764145919266   101.00196301906052554 70.539901526617867944 48.704567931891062926   61.203800201416015625 35.604900360107421875 61.33589935302734375   101.00196301906052554 70.539901526617882155 48.704567931891055821   0.8371549607508199653 0.53794533135509980948 0.098926195537605537966   0.55242055905690656825 0.67434988475515433848 -0.48998342712990333725   
61.20380020141602273 35.604900360107421875 61.33589935302734375   63.855859838505047321 37.880968543000143711 61.380959852239875829   66.389992234074000521 40.279319867641675046 61.561349789982095615   68.897234407491936281 42.705214542837062197 61.770410492418690751   71.479649132383102028 45.057295273072568875 61.883821863271315067   74.143900183744250398 47.318703118168272681 61.881087030526721549   76.92992224467108997 49.417360142468993445 61.686118968897083903   79.884510603789124161 51.204435205819294197 61.175126049798905115   82.969223232443269467 52.611440575848732237 60.332419503176993203   86.084341225505170314 53.875601349340946911 59.376439680283951361   89.208891955022551201 55.076967109137228817 58.37245330990717207   92.354496403242507085 56.031134969613987096 57.189602811563659657   95.501126120734795677 56.743001270313492057 55.846159572330151377   98.645349629343641595 57.396677965063034321 54.466851779516396448   101.7871760019000078 58.005351435245849245 53.062021367274262218   104.91908509735586108 58.483508982894569783 51.587246742265492117   108.03245182228597798 58.800910700267657205 50.031386602199667379   61.20380020141602273 35.604900360107421875 61.33589935302734375   108.0324518222860064 58.800910700267657205 50.031386602199667379   0.75759575401118373073 0.65256849248956771969 0.014249074149510340334   0.88828518996200445113 0.07394377381831769569 -0.45330093713522012777   
60.703800201416015625 34.5048980712890625 61.73590087890625   62.654165224695667291 37.367420981070615937 61.269148313561146324   64.429376134149052291 40.333160875849927152 60.76074099863558331   65.714582195355376371 43.524594913446676969 60.171852921066708575   66.532100512326181274 46.857447054022870248 59.515953384107099566   67.179030791482389873 50.221390915478799855 58.825198968468555449   67.617067869373101985 53.604686776263150705 58.06586719119838591   68.099490412051125077 56.988679152661433136 57.338565799805806478   68.869102036701804082 60.360289461919016674 56.869776890066646047   69.837631691036861525 63.708917632307240808 56.617951877394517624   70.534726532278028799 67.011730485244299871 55.756589643507325604   71.126816353177630958 70.275227507349782741 54.6547280185114559   71.742322313903912345 73.558832257322393389 53.627743612353320657   72.332978620953795712 76.807348780881000039 52.48239631132317129   72.898570160795472361 80.01130440466680227 51.205558233957937375   73.457985288403506274 83.20261943187443876 49.894641444250886764   74.011814484214013987 86.382000751503809965 48.552765330434091595   60.703800201416015625 34.5048980712890625 61.73590087890625   74.011814484213999776 86.382000751503795755 48.552765330434091595   0.56233719025093231725 0.81625889790665751011 -0.13228112506663697312   0.1573619975508549762 0.90729147624646910852 -0.3899479181343411538   
60.703800201416015625 34.5048980712890625 61.73590087890625   62.657540509376595139 37.362787804546783832 61.25650282728930307   64.331924206255692411 40.382431253997964404 60.731433737303667897   65.510395167422160512 43.611266780500592688 60.119799726344503199   66.190558298864772269 46.96369903005098223 59.41336761692679147   66.597278681076758744 50.351263925528918719 58.656467535461786156   66.954959356711398755 53.742884311325454405 57.891807534971789551   67.346721612183003458 57.131057389538462132 57.128500544651089399   67.650879308246416599 60.532073122473526894 56.383672330079733115   67.887623181995621735 63.942606952946043464 55.656911013350821804   68.237887673996411309 67.33322869603254901 54.88643227228548227   68.761870417163223124 70.683026201129180777 54.039006511222396512   69.322461528317617763 74.022793618479909128 53.174366115865502991   69.861834921356532391 77.369404529177813856 52.322978368747158129   70.498971321841040094 80.675522943757698613 51.387013974351894774   71.277409575811844888 83.910368709937259268 50.317778675988904524   72.142136041984542771 87.093920392468021419 49.163339924527832636   60.703800201416015625 34.5048980712890625 61.73590087890625   72.142136041984542771 87.093920392468021419 49.163339924527839742   0.57399493069016127578 0.80766464745953781001 -0.13493567647608159521   0.25444295971908642562 0.90634745005238548377 -0.33733229912496170977   
62.303802490234375 36.0048980712890625 61.73590087890625   64.133720077806188442 38.951045361716275295 62.121944337324173091   64.920643057306250512 42.282719940545192117 62.693486755719220582   64.488171437424611554 45.669672512240474305 63.380465902005823864   63.546537702002197534 48.960343338522910983 64.085342111785493557   62.948755490825533343 52.326477433254162008 64.777696144743487139   63.293050659337531272 55.733229689763227555 65.414351749703612882   64.500817551168367459 58.954496011906563524 66.002655009561294719   66.246535588228780966 61.919271282460485395 66.594165593741990961   68.451859486078987516 64.552201681770839059 67.222288534655774583   71.0942244288789027 66.721368294085365847 67.918602106190078871   74.175462703871886561 68.144913115314295737 68.703188953486858281   77.532547482321845678 68.576680690022925546 69.525320802327044589   80.9127617968587316 68.154606276740054227 70.281024457087525548   84.193983120356563177 67.138661250441771244 70.900591939578504252   87.257142023595321234 65.514212386810967814 71.281099532609275116   90.022238521091708208 63.383396521885309483 71.393451678339886257   62.303802490234375 36.0048980712890625 61.73590087890625   90.022238521091708208 63.383396521885273955 71.393451678339886257   0.6018119514292756822 0.79333105498574019165 0.09191415729962447434   0.75572506455177079765 -0.65487596522863245063 0.0041348487384873207698   
62.303802490234375 36.0048980712890625 61.73590087890625   64.090431805461037129 38.984600986760128194 62.028018621084001438   64.722262986092957249 42.328120906954779912 62.687710883848744459   63.979659435397081779 45.589465830945400171 63.637982186864007872   62.584135459990605455 48.621589989901430329 64.670497133202658802   61.582941042222437034 51.806352779690818977 65.66792871078718008   61.674625443804750091 55.179158009026103571 66.527229635727508139   62.604154122321311604 58.463401975742655736 67.261103142401083232   63.952582619810002029 61.612523810865916118 67.948136704772494454   65.668615705906816515 64.577061532891889328 68.627328349738377256   67.857522400641897775 67.205634286902039776 69.321559546944612862   70.492763733832134676 69.373896624698602409 70.049287786505487929   73.55661240366926279 70.85836677828464758 70.805296386593028046   76.868339492312230732 71.718040224348996503 71.500462549101357013   80.299479521513589475 72.081684811070516616 72.027897602722234183   83.769320274709130558 71.798012947898925518 72.195116169110121973   87.118571002846493911 70.857891140122021056 71.911875965354099094   62.303802490234375 36.0048980712890625 61.73590087890625   87.118571002846493911 70.857891140122006846 71.911875965354099094   0.60682602990179812519 0.79354332030946583831 0.04528982474962200272   0.93146504973602917143 -0.33861250227588490791 -0.13309558378369296117   
62.303802490234375 36.0048980712890625 61.73590087890625   63.999509755459953908 39.049935173381655318 61.926969025799557755   64.660057661489062752 42.450516699609572413 62.141399794325245409   64.019804043778350433 45.866868810497699371 62.309013801520642062   62.728629315963502222 49.110920843704441552 62.418451971126479805   61.2900388555836102 52.294751844969262322 62.510820147569688743   60.082858253641887814 55.57014901428719611 62.633140624658061313   59.335404181120409817 58.976669496057070319 62.81308998078978334   59.026519886103294255 62.449156838912614376 63.038401349504532334   59.094779858409012263 65.933326238455265411 63.282593841891582542   59.501256196111775409 69.395089850203333981 63.526996258469303314   60.096395089963387193 72.830696488874067995 63.765781700849586855   60.809607454245828251 76.244091991607390923 63.998344789663477172   61.732315340558663763 79.607283671879315534 64.216249111905042923   62.904817101478855079 82.893511329811488508 64.412929113024759431   64.225258350527781204 86.124270436946190443 64.594775508052109103   65.675319714911807978 89.299696160959840086 64.762308903130488602   62.303802490234375 36.0048980712890625 61.73590087890625   65.675319714911807978 89.299696160959840086 64.762308903130488602   0.55856183888634958201 0.8279583068849664107 0.049937102439764506634   0.43456769600511968576 0.89947971673184701213 0.04568541098423921365   
