99.900000000000005684  17
58.153301239013671875 32.53609848022461648 60.96920013427734375   63.317194087593428264 35.271717439937098959 63.081055233167113272   69.218708137788993895 37.228766944911619419 63.277267561100330795   75.214203953530983426 38.622938496667146069 62.266758202270068523   81.08930537057230481 39.606208865824108045 60.420812651536124349   86.585024630532998913 40.018835989649446105 57.516478753330680718   91.323640905626618292 39.720014615810114833 53.48715856492457732   95.098303295528467061 38.754179578850774135 48.622018710155387566   98.150113604160964087 37.380963118924199762 43.353515222309937371   101.00636376771463176 35.909345864684091509 37.999983546383127475   103.96584711821155622 34.48514973558968677 32.690057265105188833   107.09614165091755922 33.138104735157106973 27.458700335983692753   110.368352700099976 31.855465660230809277 22.298304904646290225   113.85526855566816096 30.675657445769552112 17.256466068576290951   117.79359752534141137 29.731618015045359726 12.509632982307993032   122.35609943260362797 29.165860824716869359 8.2957866393490142798   127.56139665684467843 29.084784808661126476 4.8617566385800001783   58.153301239013671875 32.53609848022461648 60.96920013427734375   127.56139665684469264 29.084784808661126476 4.8617566385800055073   0.74533900743977354875 0.48004986442934155511 0.4626250011078780755   0.87060001770836337176 0.020451362004991147092 -0.49156622235293834233   
58.053302764892578125 32.7360992431640625 60.86919784545899148   63.181676471080798763 35.366764789173465999 63.195083712247345886   69.110184361987194279 37.18498009614252453 63.697090581806286025   75.178452344965066345 38.454618171697013906 63.011736631811615439   81.133913028188942462 39.31315967409728529 61.379486242613864988   86.698816368542253485 39.659814300207337112 58.599965368107682195   91.537367201198264866 39.435494159604260744 54.683911007420192618   95.415979378173062742 38.632684191231476234 49.87252996702031993   98.501895051512079249 37.402264719829084072 44.589703121239523398   101.32691342012570601 36.040915704113608342 39.190607653906965879   104.22724692141237313 34.709821172627890462 33.824137282199188803   107.29885207688722915 33.439089715582433371 28.539218376218538964   110.49444958097743097 32.208275486236416896 23.318378219572501564   113.84397980724071431 31.015649827523944282 18.18702434549728153   117.68822365419357823 29.9326556133944095 13.39323655983501915   122.15009328704856273 28.998602266433742614 9.1351751211017884202   127.320142581968895 28.28732600317016832 5.7231102328214547015   58.053302764892578125 32.7360992431640625 60.86919784545899148   127.32014258196888079 28.287326003170178979 5.7231102328214413788   0.73776195257908439018 0.46622561124918709963 0.48820178281323250991   0.87355593978064105531 -0.095948028325994139109 -0.47717292036987540849   
58.053302764892578125 32.7360992431640625 60.869197845458984375   63.014740629144640138 35.425223466492724356 63.481513354801840876   68.792602354861443814 37.563849669820505994 64.361217805711973483   74.775679590164159549 39.290434508733582675 64.012253713372004427   80.710638637763167935 40.672493946100495066 62.690202352946073461   86.387919311242171716 41.59349749024814713 60.289378095764433851   91.522837881615089373 41.886782014741932301 56.776049348857384302   95.76920320861981395 41.305026462530960885 52.259938145307593516   99.132004835830969114 39.927626587157703852 47.189870395488561883   102.12635164558298584 38.23091777374033029 41.980584480115275881   105.04867275060522047 36.473791812538649992 36.750212021159029518   107.99759951954629855 34.73230233966269509 31.529810544071970924   111.06271249553819302 33.060678923879116553 26.353578939570670769   114.25855265225121116 31.448182748558721755 21.238121883277205626   117.78034866585063867 29.952003847061995145 16.30751153875695536   121.83220403513894325 28.652842091080245268 11.743812177963716792   126.56581331210585972 27.665192300825630412 7.804086952855775472   58.053302764892578125 32.7360992431640625 60.869197845458984375   126.56581331210585972 27.665192300825630412 7.804086952855775472   0.71078109475710060661 0.46016819112134610403 0.5320107811088099492   0.80387042072460179742 -0.13351088489355675271 -0.57962676810081081857   
57.753299713134765625 32.836101531982421875 60.96920013427734375   62.937308003172873327 35.292054774004434137 63.398016124841021224   68.737676893309398451 37.334463370178582409 64.383380456212279341   74.747532716862963298 38.97801215196325586 64.1373970034879477   80.727473515092356138 40.271670936322664147 62.927102411914184188   86.483337880754618254 41.135358819907850148 60.696308838972747424   91.736517547583218857 41.412666018356190989 57.358200411624729043   96.236343603899442201 41.003193802487828634 53.066836504643461581   100.02962569609834986 40.017310275209219128 48.211227538623290911   103.53331910998964815 38.808317756661622866 43.186785828001397647   106.98910880631152054 37.56372624078317557 38.137748709861511998   110.53085208686059104 36.373222773004435737 33.135603351611607081   114.1480442231933381 35.225244664156846852 28.177599209321012808   117.86810853656264442 34.123725461011424898 23.285750970316993147   121.82578300773087676 33.109448545458612045 18.567183442511122848   126.27219886388543557 32.270466684974714155 14.269613935767582191   131.25771373532862185 31.650559243540502763 10.570492113138680423   57.753299713134765625 32.836101531982421875 60.96920013427734375   131.25771373532862185 31.650559243540509868 10.570492113138644896   0.77486360426971023774 0.41425100655046082077 0.47747512851465268024   0.83616395743570792742 -0.081764101396518490406 -0.54235087167651485629   
58.253299713134765625 32.63610076904296875 60.66919708251953125   61.879960863093280921 35.914759888628218221 64.524249984608161412   66.687690954936940102 38.829753887870687379 67.203901689022572441   72.110512728639989177 41.391814608664454056 68.917630851267659864   77.867290613211480377 43.633272657789603954 69.771673451095949758   83.814953567727897621 45.454979114250924965 69.463298079639301363   89.585552829327468771 46.622956650580064775 67.473737070203000599   94.519622546508912819 46.872663904092448206 63.709698805435991176   98.218596557768123034 46.099158513835348572 58.764556183211894336   100.95883593745986673 44.526185436968326314 53.385887735601464499   103.30581531650565807 42.614651671069196937 47.925151373297978807   105.6235438776535176 40.677505731426009561 42.460730886889066937   108.05287152031061737 38.81241230772918982 37.020189159315727068   110.62499080933386608 37.029365636942145557 31.61759042703916478   113.52194295888382669 35.390222061336913839 26.339017279133273064   117.1195469461988381 34.059516232851670736 21.419734010068602004   121.4527794584586502 33.095432596137534631 17.037024332931533621   58.253299713134765625 32.63610076904296875 60.66919708251953125   121.45277945845866441 33.095432596137534631 17.037024332931533621   0.48440029711420318215 0.54098459105625618104 0.68752601724979633957   0.74039557963713586997 -0.12822179253045151714 -0.6598284304075322515   
58.15330123901366477 33.2360992431640625 60.46920013427734375   61.651408816668165969 36.278365687747538004 64.635313324099726628   66.14222631636842209 39.213528416212909633 67.806126751119137452   71.282646109294475423 41.968863815061538958 70.014969137069400063   76.832912459791842252 44.504214164520924157 71.299324613925236349   82.661375112549137611 46.697268205030631805 71.350723291894908584   88.434780171586950814 48.257471969477506946 69.672421933049420772   93.453698807157067563 48.755300941199138265 66.059038974938317779   97.185998282867373632 48.046933008091038175 61.135480745113170542   99.820060533221266041 46.439952472612013423 55.716425827921916891   101.95807023598769092 44.445196716685238414 50.200064651475798883   104.05871827859969869 42.422048638435498447 44.67932903943253109   106.1503789550707495 40.392108077275040046 39.157695158248372991   108.41340600484373624 38.443081706377157047 33.675560140987563784   111.16582129134124557 36.699701418432844946 28.353910276598050189   114.5864840861289764 35.243051879614782251 23.342894573594172414   118.47756760437523837 34.009579312779635529 18.619393888710895624   58.15330123901366477 33.2360992431640625 60.46920013427734375   118.47756760437523837 34.009579312779642635 18.619393888710899176   0.48727790464057696429 0.48857136871322331961 0.72378053394850050406   0.63990390020407095228 -0.18904419667911939729 -0.74483910356906268824   
58.153301239013671875 33.2360992431640625 60.46920013427734375   60.847599070404413624 36.415741831497420833 65.115206262285454386   64.161564272644540097 39.642704557584750091 69.301978074816901199   68.078677659006672229 42.868186607245149844 72.931999027969652616   72.60588417867305111 46.031389328891435753 75.827874050907396963   77.782684828547289158 49.027477713365250622 77.551617226340752609   83.44363136500074063 51.550462817566156559 77.334653250006255121   88.818213532737075866 52.91338471222599793 74.598772751391280167   92.90438946804054865 52.725055053395557536 69.938115351148269383   95.619203772774724825 51.362471461372606996 64.498859581873261959   97.543980403715480065 49.415855614480307167 58.890025992447185388   99.147844532067836099 47.24633029714079413 53.259583176777049118   100.71903080282091025 45.053977868157744524 47.628523951794207392   102.47686607186577135 42.974000042443471159 42.011123755364451426   104.72994091738844702 41.198356665486919326 36.47020816400458898   107.77583532797910948 39.958006632295898441 31.171681551233945129   111.3189869102884586 39.092362226643942336 26.104702159250557258   58.153301239013671875 33.2360992431640625 60.46920013427734375   111.31898691028847281 39.092362226643942336 26.104702159250564364   0.39756319421749530818 0.5052194559618254921 0.765961361898378712   0.57777014480991872869 -0.13036154627684923279 -0.80572174292284959307   
58.053302764892578125 32.7360992431640625 60.869197845458984375   60.819907951146888081 36.129385945769605826 65.319224916561481109   64.085649436243798505 39.508273833557126409 69.424325982289886383   67.943167451883567765 42.86966317492293399 72.994581045443283074   72.378014709474129518 46.188870986680271358 75.860680907783120119   77.421326379225959613 49.389887136426409597 77.622237736526145113   82.918517673538701729 52.268655929272533456 77.5740918121365155   88.203912236216410747 54.23814963371688691 75.034930010555342506   92.340981225469946025 54.661424980857006517 70.441812013040859597   95.127468004387452538 53.493759635976928735 65.003087905589865159   97.073906299310380064 51.29945518736832355 59.497704795161958202   98.624298633760460575 48.642474160263937222 54.065181919517144138   100.14660801981847271 45.950473124558833149 48.641319529195669702   101.8206806380956948 43.397288709080349633 43.195624540238114264   103.90896635667036207 41.205340290315405127 37.740560534159449446   106.80531469413158163 39.753607491313246669 32.416382059985622277   110.48224258919738361 39.114793242286935993 27.417873540769114982   58.053302764892578125 32.7360992431640625 60.869197845458984375   110.48224258919739782 39.114793242286943098 27.417873540769114982   0.42094216952835084022 0.54356146780851344325 0.72618773098050870551   0.62828997160012634016 -0.056410188247884129886 -0.77593144171927375119   
58.253299713134765625 32.7360992431640625 60.66919708251953125   60.308383908133798457 36.064083408730098768 65.53422317455250834   62.875864256657450824 39.454139876387358754 70.101970206512717709   65.993222159009576444 42.910097785177811147 74.258560760653267607   69.717121425573310489 46.439598181506752894 77.805743648654100753   74.093341402073903623 50.025383792984392528 80.414979917408373922   79.140740710791263268 53.52348151226842532 81.318061243066850352   84.392367725053233585 56.352686863279245699 79.677129896199986092   88.925919154469013961 57.661522468649991424 75.671501160771114769   92.271576483585150186 57.228121272131893704 70.451062923889082867   94.638466897018048485 55.51111516154578851 64.946460924245300816   96.396384333957627177 53.065362699885518794 59.480410821482685435   97.929769631683953435 50.380679829597220021 54.05594872953184904   99.522364494663904111 47.744904418174556326 48.625089444134005134   101.53130214605512549 45.449824659886623124 43.182158787006933665   104.32028249957609489 43.807978147997154394 37.853737726516193618   107.84311294582292362 42.846622837695527153 32.794035534979350643   58.253299713134765625 32.7360992431640625 60.66919708251953125   107.84311294582292362 42.846622837695541364 32.794035534979350643   0.3027399766145091875 0.52917601755298071531 0.7926671741697228768   0.59862524899381963639 -0.11900306310056284198 -0.7921401910266712143   
58.253299713134765625 32.7360992431640625 60.66919708251953125   59.542639242847698711 35.664152831990868719 66.030953914244619796   60.915682497825059727 38.600186350656805701 71.367298940169987986   62.525424748026246391 41.572352334619594671 76.615931177926114515   64.603631698228142 44.653038102962170797 81.629512212919507874   67.451034503450784996 47.961466409214636997 86.076298339805717319   71.434692526516244016 51.634622215630663788 89.096051102969795465   76.333021049936178315 55.375102547741413161 89.364293785367564737   81.203268935014293106 58.102730859144678277 86.693063077597045663   85.423525509407426171 59.254226519860267786 82.280747855044069183   88.732788520578992575 58.912832632311456393 77.020518537084413424   91.096023763597756329 57.412937177175372483 71.453047143285402854   92.67819731893241908 55.154330601757749264 65.856336784184094313   93.874704296695199446 52.570084572602887363 60.300163110723232762   95.238194932302818074 50.112755471185359113 54.727365867786332387   97.262540021386627132 48.18556626741034421 49.151932575271359838   99.92591476525913663 46.820073084498034177 43.675110246122052615   58.253299713134765625 32.7360992431640625 60.66919708251953125   99.92591476525913663 46.820073084498019966 43.675110246122038404   0.20860589729409745319 0.46914277332424864086 0.85813089785402607568   0.45559831132039380064 -0.19133074468944011315 -0.86938065590314927977   
58.253299713134765625 32.7360992431640625 60.66919708251953125   59.088554447644554557 35.329773993022833167 66.286989144185838541   59.93324924738122661 37.925831721626600768 71.902243409038774757   60.909609593672655592 40.559645539635617695 77.478074649980726463   62.219110079096878962 43.318580838727811511 82.921544567864486908   64.229206749115519415 46.386557585339083687 87.960891507269479916   67.51782649129904712 49.985822062089255269 91.797522733774414405   72.143987704435360797 53.848913831031175903 93.124221627965411585   77.138826835854118258 57.052490389873987908 91.3822457946931479   81.650752428962093177 59.01216733228400102 87.584072406291966217   85.334557080927211814 59.557480076435297178 82.604975653687574777   87.992323117209110706 58.717571977944309936 77.040203043235194968   89.657737883850273874 56.794490717603004271 71.348676794305205817   90.767855427486821895 54.37582197270516815 65.701155180208473894   91.991627710265476026 52.038744627338637372 60.044204996280448938   93.806653826565934651 50.151924003345733638 54.382095048393047421   96.238475800426741102 48.767471716872222487 48.803099548446944311   58.253299713134765625 32.7360992431640625 60.66919708251953125   96.238475800426741102 48.767471716872215381 48.803099548446972733   0.1320603580382058162 0.41501214472127534449 0.90018052721033015029   0.41912440444232190728 -0.19614210783757646261 -0.88648914665319022976   
