79.400000000000005684  17
61.34550094604491477 33.706401824951171875 59.8722991943359375   66.138111222505230558 33.14179028325452947 60.99744308936033832   71.044985904851927216 32.476268383142986806 61.078378946005521755   75.859252082936095007 31.758315090872784481 60.149520646904775845   80.452966171838070863 31.051167094603414398 58.423853369181522055   84.784255369763428689 30.393947704476136806 56.098210463764999645   88.884892699391954807 29.808041593747038434 53.367872440909749798   92.785405231451591135 29.314621947897482102 50.341522327332604902   96.497121265370239485 28.94001644590563771 47.070245698266020895   100.04342406256780862 28.688767117427822484 43.608799579767740795   103.45190370837616456 28.533351276924793893 40.005627994964633842   106.82676082835467923 28.393896956010777899 36.370069413068286224   110.28606046783889383 28.306508267098344334 32.813873909328499678   113.94477846568486257 28.487024417406797028 29.470089215198179033   117.83756125580866581 29.392912626180446978 26.550010788753169777   121.81153004987882582 31.18305940676463095 24.190530425681981086   125.73957559138689533 33.482938697231901415 22.217768344750783882   61.34550094604491477 33.706401824951171875 59.8722991943359375   125.73957559138688111 33.482938697231901415 22.217768344750766119   0.94355797134685093219 -0.10365973040796716553 0.31456798152317250183   0.78599103178116502821 0.49383620710656167541 -0.37194609624270114079   
61.44549942016602273 33.1063995361328125 60.072299957275390625   66.263247242693921635 32.750569573979085192 61.186047891854350667   71.184929507971716589 32.221185538715097607 61.286887797185229942   75.996295796209793139 31.534095932186453126 60.322716457980618543   80.576959117463260895 30.769736619180662274 58.585074448952198622   84.9079250513461119 30.004280464578403809 56.291743172620584801   88.99989318410514727 29.291250034738268937 53.579276738473069486   92.876917723137268013 28.686775759878610614 50.543168750466620054   96.566994505527503634 28.241149431994575281 47.256455818967701532   100.11775233667987095 27.976007819175539026 43.800840713785696323   103.44689333095237771 28.157124220277832904 40.134530522921494367   106.38689703354152982 29.049931869659651795 36.239910398723331753   109.49500289622520199 29.890278757198693427 32.468172770684219586   113.02201700888437585 30.592416671481821311 29.050989150816512563   116.88760450081127829 31.332396468548633806 26.035711360705171558   121.18186412848429256 32.252110935542084746 23.737992319368213856   125.7001522818590189 33.325493182096238343 21.992003696505559418   61.44549942016602273 33.1063995361328125 60.072299957275390625   125.70015228185903311 33.325493182096238343 21.992003696505559418   0.95452209354285788567 -0.058809137078488324391 0.29228249748256096563   0.91950903434078123944 0.22427883141190876892 -0.32280356495273215822   
61.44549942016602273 33.1063995361328125 60.072299957275390625   66.237279141422263251 32.836034155467018536 61.319757410008691068   71.15412953427110665 32.347543416693021356 61.658954901293867579   76.01407957839610674 31.639183399533095553 61.001130562419014325   80.675159894393672744 30.78477950580832001 59.543639793114699899   85.097361357665491255 29.882574085818564669 57.486865547072966365   89.28350891067096029 29.023434877917562602 54.968213979170315042   93.204266960274793519 28.296480258511035544 52.018301949855974442   96.860562820457246858 27.768720414075513503 48.70704353950964105   100.35902808917751372 27.419480629211467004 45.205602748952259162   103.67208543729584846 27.501773195899300362 41.519792349101237505   106.63011562542214961 28.531917139039641995 37.684263569036438923   109.26765732318771995 30.147786845119885157 33.80445170389300813   112.07594512546188525 31.639563208581446219 29.998957555418357401   115.5063803315233173 32.700982788214453478 26.587390632771469967   119.61236201939831858 33.311733329300231787 23.884425734012697973   124.10976283744537341 33.615280007683658425 21.81463192597816203   61.44549942016602273 33.1063995361328125 60.072299957275390625   124.1097628374453592 33.615280007683658425 21.814631925978172688   0.95072093712525251874 -0.040307442881319432981 0.30741667124612942485   0.92537560265044260799 0.043224563642122168505 -0.37657885112852329534   
61.44549942016602273 33.1063995361328125 60.072299957275390625   66.129250869153878511 32.737755268309406631 61.659051308782387935   70.994335061791801422 32.165527396249039782 62.395983208138829923   75.887673187649937745 31.415236957855185551 62.17060069110932119   80.663339054831340036 30.574279372677345634 61.138567525211776399   85.240483857204807805 29.712864248774419451 59.436302280973237089   89.561110413049931367 28.898396590825122132 57.142621989326123355   93.563065497712642582 28.194607083112018131 54.29974485870181411   97.230327761097711914 27.658207105513994861 51.003371462772854272   100.60849969447532715 27.32310758406796225 47.385793682928373016   103.71868944370289967 27.234168929763836076 43.522826591132869112   106.52256592048443906 27.403727994932214784 39.432581156809163758   109.30195635268415799 27.615438964069390693 35.327221295172094528   112.34305275980753436 27.97705711608978163 31.426178650674923887   115.77512200256641961 28.929510142899058422 27.986310477122390949   119.4499599988845091 30.766539403474624237 25.217814959713152234   123.15523621685098021 33.062659140970261262 22.847253607959100208   61.44549942016602273 33.1063995361328125 60.072299957275390625   123.15523621685098021 33.062659140970261262 22.847253607959100208   0.9250796635796049161 -0.05982873931450048699 0.37503084937573133439   0.74631439321837433898 0.47656228975727638053 -0.46465386090765631311   
61.445499420166015625 33.1063995361328125 60.072299957275390625   66.005953217397845378 32.623443083820951927 61.962355454625097195   70.777728110960836716 31.943360266997608221 63.109239831064293469   75.651271920602866317 31.070142692131831552 63.285587849883775391   80.460737233349874487 30.096723696041522089 62.581615604307323508   85.113427220289594288 29.105718632862636497 61.182175065025788285   89.522887911161475927 28.172945572348130128 59.117121013013672837   93.578077656869226075 27.394465707000041022 56.373933573675437003   97.231014534672951299 26.847843737341190007 53.065407378186399967   100.53259300096163997 26.581559866086351462 49.373215729397173845   103.53268591503170626 26.674176846858681955 45.425734342333321081   106.01176447610804132 27.458927376410912302 41.21389913535742977   108.16464281408313752 28.667921939770881323 36.909886803558578094   110.80763827696983981 29.690956357099128837 32.841318179580511583   114.01174309587811706 30.654905170630851075 29.182786450826093017   117.7927344269692469 31.662628696617691304 26.139717600139398712   121.87736609561173395 32.708811659622369916 23.523755912797536638   61.445499420166015625 33.1063995361328125 60.072299957275390625   121.87736609561173395 32.708811659622369916 23.523755912797529533   0.90203250979822102718 -0.085083119766784898186 0.42319996927914954599   0.83185027341449757632 0.21201346139523624679 -0.51290877825149017166   
61.445499420166015625 33.306400299072265625 60.17230224609375   65.209611599279668326 32.23069503496472521 63.221856388285729622   69.097082019721113966 31.023423354122794393 66.056915900528863972   73.219196126321307361 29.555287035955480235 68.388289517218780134   77.554648473158678712 27.855067356998873151 70.091150488476898772   82.054674696854846161 26.023142405631862317 71.068103565062301641   86.651527819491761306 24.209104725974203376 70.905904251497105406   91.023586775559067519 22.765688126747615883 69.129380450440010009   94.699571864438709667 22.032697317909434531 65.914042954728046197   97.466233491718412552 22.112337885629511192 61.813144075618197348   99.412335223541546725 22.942025867754026081 57.334874417692823556   100.66588980270877585 24.482313497927428614 52.794751733394072346   101.35202523998735558 26.523444287967034683 48.326679155044210745   101.91242710795273752 28.660485674178751481 43.883329954198082135   102.92348138956913317 30.675193238644414606 39.469571225887790433   105.14340254532559982 32.4102094463403958 35.407481518670920195   108.39189625539908945 33.847579064344181177 31.949908259362022278   61.445499420166015625 33.306400299072265625 60.17230224609375   108.39189625539906103 33.847579064344174071 31.949908259362022278   0.75525293108828450706 -0.21343981618937174494 0.61970674915447110376   0.7069565543744623648 0.2703868720370578016 -0.65353146034219633531   
61.445499420166015625 33.306400299072265625 60.17230224609375   65.114158432412750699 32.00866342504808415 63.251752395769692328   68.893210029563718422 30.637809563737899765 66.158569330136614894   72.946619824304193003 29.092606636946602094 68.559491731494276223   77.267379085846258135 27.397086411716614407 70.302559335814038377   81.792548788549041205 25.629679184472955455 71.280042971161378773   86.432946379617987986 23.927341757174556136 71.122231659819178162   90.847064174687076843 22.595232310172512769 69.363443882657776385   94.549746495600032858 21.913663249608646311 66.163666065704830999   97.382594662643555239 21.930180599608991798 62.105225280277068123   99.390498925202649616 22.652509063720746241 57.636047363875654526   100.69511488478173078 24.101672697106383936 53.080787769771383466   101.39109502672529572 26.085786257741862215 48.589392618313738126   101.91495793413251647 28.189533507572587467 44.125771965400410579   102.98114394302149321 30.196041422652431407 39.724556853423635516   105.37745685872852164 32.034524383560224692 35.814627155255806201   108.8479636870645777 33.687471881577856436 32.687574402220221259   61.445499420166015625 33.306400299072265625 60.17230224609375   108.84796368706456349 33.687471881577863542 32.687574402220207048   0.73972791405324567204 -0.26179719107550680768 0.61989099357500632159   0.75695967487250281902 0.31855409731462547285 -0.57055704158390607716   
61.445499420166015625 33.306400299072265625 60.17230224609375   64.934624200116218162 32.09092794268661919 63.485141246210844201   68.499414505351424509 30.795019036611897434 66.683785863989768927   72.261306997350786219 29.291414944072272419 69.544929029076797633   76.272923134649559529 27.548182186373857405 71.880658555753186079   80.540848664716804706 25.628783420128751658 73.511778183467583858   85.05647099403650202 23.683556803640836819 74.042092482653686147   89.587880782535123103 22.052859210980756188 72.963676578881205614   93.641787325873664827 21.102999767397673025 70.309981357817775915   96.896124594676606989 20.947234518290379413 66.588676339803214432   99.301128289325362175 21.552069100860226314 62.303427861087904205   100.93649937612022427 22.902183488499598951 57.826972032898723342   101.92180326183748207 24.795293010246865606 53.350531949940631193   102.65404811515567474 26.846162067571263776 48.891462825299129236   103.75875183399480761 28.795911157743837805 44.470072767877731224   106.00043438648079075 30.470557456843927469 40.391786625063531346   109.1841856109719231 31.873887130602799544 36.859144891753189199   61.445499420166015625 33.306400299072265625 60.17230224609375   109.18418561097190889 31.873887130602795992 36.859144891753160778   0.70273755780526148129 -0.2445521211653677307 0.66809743666879617408   0.68814266238221055705 0.26638713174889872004 -0.67490560247201814015   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.53990045785234031 32.386769253585271144 63.603056024098627574   67.563418981577171962 31.040113064129748466 67.300275521116972754   70.74148662841268731 29.550301731813341632 70.805986425322060995   74.195198622391771437 27.804669807934224934 73.907053928338712012   77.981324663257566954 25.798409041875920877 76.39727483480547221   82.185833261403928418 23.637461600413004703 77.847778729295455946   86.699144645895970029 21.675842574342059521 77.582625859415003333   90.944941345698424584 20.427625824170448254 75.415773522805949369   94.356572575066124386 20.127413134385690796 71.859756075418985688   96.754277461085507639 20.734413945502147669 67.576203131059656926   98.217261268476420355 22.154169883581445788 63.06432516351951989   98.890045688584947925 24.162176289092830217 58.582156599682946307   99.167506694221870589 26.388456404366390728 54.155969478036588782   99.821626459168754764 28.517826407837777225 49.729739954979230276   101.75236254076740749 30.308579241693266226 45.547488843202195596   104.79502634559430874 31.722962487772978335 41.899848621830408035   61.545501708984375 33.706401824951171875 59.8722991943359375   104.79502634559430874 31.722962487772981888 41.899848621830408035   0.60324974609442749696 -0.26577714233367594199 0.75196559392697870372   0.67338626021445979752 0.2594829017472168875 -0.69225686580577039386   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.333189000606026298 32.255149638979574434 63.712676145376420322   67.070899132829097766 30.854071722000487199 67.607299639940436009   69.880069104491383314 29.383083325365266347 71.423377230189629472   72.95035500074192214 27.654018704772035164 74.912856262384295292   76.371819833578626913 25.593287569171593532 77.848026760365172549   80.219729088740095335 23.24056260352051595 79.882378772108836529   84.53877153404110345 20.905927346477785278 80.27114708174032387   88.847926025836116537 19.300426246041133993 78.526345273148933757   92.453812309782904322 18.792091840852407358 75.198035086643585601   95.023890220998566747 19.339316066042265163 71.013776758547578538   96.488441423261079422 20.747846114118207339 66.500894513635472549   97.093453604090385056 22.646825884486720071 61.961312845438001773   97.262983623209223083 24.703559415789637654 57.448623124212552682   97.680676985308053872 26.754420485285297815 52.954258111284254085   99.292905383662315444 28.777177519850155818 48.74185722276308752   102.0648176175006796 30.730624240612403497 45.128000329848468652   61.545501708984375 33.706401824951171875 59.8722991943359375   102.0648176175006796 30.73062424061240705 45.128000329848461547   0.56601398073745112782 -0.29672242944570026424 0.76914496258740849832   0.62314735453575287316 0.38592678580701811342 -0.68025575376600577737   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.055604190961858535 32.087286369469197211 63.834552179437991981   66.360026939789989342 30.664366570090418662 67.991642410158775078   68.584606351605884811 29.317962521742817472 72.218002173867759552   71.074244690217440734 27.771419994460455172 76.219075177008832611   74.006480588571207591 25.945950750625883074 79.773842325590635483   77.607676912098909838 23.860428996988645167 82.441263796422674659   81.978013818955687952 21.807317451619713466 83.398787772444237021   86.53079292910004483 20.361442838624533636 82.221580108823573596   90.446991821473631035 19.897576939469626467 79.267344062966614615   93.241877027226280461 20.435461774361115772 75.232598201241572156   94.84612707220632899 21.865233337194606378 70.77698812090086733   95.417921257934395385 23.952409168514396498 66.320807265694611488   95.495072429440554629 26.26431957183142174 61.930842906597248998   95.753459678989401027 28.566383731554910952 57.545962744025935365   97.140032388209775149 30.784658472219977199 53.351307340604478213   99.77165007564187249 32.85346616936688946 49.699011003858771574   61.545501708984375 33.706401824951171875 59.8722991943359375   99.771650075641829858 32.853466169366903671 49.699011003858785784   0.5180316518725952557 -0.33810793212129441887 0.78570110977063822855   0.60512656627529815001 0.40244868004767575531 -0.68691840761166889084   
