77.900000000000005684  17
61.545501708984382105 33.706401824951171875 59.8722991943359375   65.454529510001805193 33.413741966464094446 62.75530264325790597   69.782045262853046097 33.056989974594102932 64.941126174617210154   74.43014681759828477 32.662902169295314536 66.317134110115588896   79.226157413167541677 32.261426318192512497 67.033486599698193231   84.072727940737408403 31.860901814642190288 67.211978099591718205   88.900658507762145177 31.466165092472561327 66.772819328325567767   93.553582800145903775 31.089447953902691779 65.426527248311671769   97.752827707097040388 30.73806469592156887 63.009446007325749406   101.36981145843097352 30.373862464599156397 59.780807533910213181   104.39251377022974054 29.938336984482198488 55.995322919511700377   106.79473814699369427 29.384380884791251987 51.802753557455559985   108.5540469811189439 28.692274316776231302 47.319821562270597326   109.87956685213411845 27.904549858191554534 42.702495033352093401   111.10361655628739186 27.094714917488506245 38.060394980962442446   112.76863915831890495 26.386533013404360304 33.545639217477614125   115.13606740934721984 25.860492550883368068 29.327841919381988589   61.545501708984382105 33.706401824951171875 59.8722991943359375   115.13606740934723405 25.860492550883368068 29.327841919381988589   0.77143805271790122369 -0.055343298000226845423 0.63389309050128539447   0.53784493908968977749 -0.093236059896632222932 -0.83787222094455393595   
61.245498657226569605 33.206401824951171875 60.17230224609375   65.276660364409465842 33.128792837352442291 62.899975718396554214   69.570265800172848003 32.98578257071095976 65.182155176402190477   74.158310756229369076 32.751545143670604432 66.780284960324721055   78.91068313254010036 32.445278720402789929 67.781228260985159295   83.739807132490881258 32.083849372184090498 68.259996497712862151   88.581038560598997833 31.666667824932464015 68.076278216986708003   93.258637232036775799 31.190491305412123779 66.860607319592872955   97.483637835633544455 30.670755963926506382 64.521449630246749507   101.12095624953731487 30.114470986264073815 61.34365499106625208   104.16585924413537612 29.516452195841331729 57.598883038691305103   106.52299230620981518 28.849890574033629775 53.399025191236653143   108.09931809856648499 28.100739551494658741 48.859338047085714152   109.16770945379360569 27.306264554478286044 44.17691150901060837   110.22033947577051549 26.510528394708963162 39.491047005679071447   111.79046801006859368 25.761265853544216498 34.94831537563820234   113.94357214602706563 25.076859800390192135 30.6374193679933704   61.245498657226569605 33.206401824951171875 60.17230224609375   113.94357214602707984 25.076859800390188582 30.63741936799335619   0.81221090652690208778 -0.012293220168987087013 0.5832343611762115243   0.47918081000773588007 -0.13582634881324548437 -0.86714298376241960575   
61.545501708984367895 32.806400299072265625 60.17230224609375   65.161849735231612613 32.947166959143288523 63.426908122832593051   69.105480824884935487 33.006888370250003106 66.276080094158928091   73.387945505863896756 32.991658785067443205 68.584491771348865541   77.934089848671803225 32.935659060717526359 70.317700842990504384   82.652282306074411622 32.861787441550006861 71.504722548981746399   87.493426201715593038 32.779368659953860288 71.913378611564070297   92.266816481283782991 32.691458760933684857 71.054006371513807494   96.570416407377635437 32.577061968467447173 68.815980102306383515   100.15929206821559205 32.372842625196895483 65.548755895496242374   102.94961661819516507 32.026211882122012753 61.584772874396811915   104.91830827967902451 31.507001496648165073 57.169719147756936195   106.11589125570112913 30.811821929415650345 52.507138968158869829   106.72296842093008706 29.986881894218115008 47.749057100417282129   107.24838197039051124 29.143087093189116388 42.983944607603362442   108.36138003960381582 28.400147991179501616 38.307732874025134606   110.11758804364308162 27.776357875636055184 33.81230873130091652   61.545501708984367895 32.806400299072265625 60.17230224609375   110.11758804364308162 27.776357875636051631 33.81230873130091652   0.71535320648413913691 0.035102734487274793451 0.69788078351848703562   0.4064279413830604315 -0.11895613391587685215 -0.90590604737296953619   
61.445499420166015625 33.406398773193359375 60.17230224609375   64.861815705495104112 33.400601209270945446 63.641221542464791128   68.352477419993306285 33.351967275769538901 67.034221996480212624   72.083771681030228251 33.179893336187724628 70.15351938999036463   76.132653099242972417 32.888508244207798725 72.836663012970049635   80.471636504198073681 32.541738189459273656 75.009868083673111983   85.124562702897421218 32.220959392586323133 76.363385565172450242   89.957856996553005047 32.064813965376536942 76.180379441720489808   94.36618376666045549 32.137457560926705469 74.180715020074856625   97.959673434153614835 32.31478817455501229 70.920286574607558805   100.71149541314099451 32.443545126592404415 66.917381906973687933   102.53874671718830314 32.388509987570635928 62.416585474120971355   103.36548216338772477 32.059613693863894923 57.638140374534479804   103.51368014150575902 31.527309863257052314 52.802455879322941712   103.5208247976119651 30.952857303886794682 47.967938057800886043   104.04261212670208181 30.512011635422272349 43.15402909389433006   105.47076797525085112 30.311177136723518544 38.509742666500137886   61.445499420166015625 33.406398773193359375 60.17230224609375   105.47076797525083691 30.311177136723529202 38.509742666500137886   0.70073510680679851337 -0.00064467503125028744956 0.71342126018402896026   0.36626047413309342771 -0.021163360898551201311 -0.93027166851585818552   
61.445499420166015625 33.1063995361328125 60.072299957275390625   64.628301566010890156 33.240763231960038127 63.754149949525391605   67.942580720007612172 33.346787235300588748 67.318162435726350168   71.513933945500568257 33.410726116071465697 70.624191562783977361   75.389959349348430351 33.449396155097481653 73.566634930744314147   79.594352785909521231 33.48895618303199484 76.01217245833419156   84.203625284474640011 33.558546631200641741 77.528527058277958872   89.03310641829361316 33.683360554786077046 77.341299767972643053   93.404948503821259465 33.813743802668305705 75.265328577185314884   96.901855419526214064 33.866363423261219623 71.901571165518078033   99.424582111827021436 33.778205717695790611 67.75199555515915506   100.92421446664314999 33.49998307284212018 63.140353902818439735   101.40027327234365373 33.003307625027872518 58.328151505523919695   101.19642083657087994 32.353788902921856163 53.509093154949354698   100.82978771566298803 31.668341878308272186 48.703122811167489203   101.04292811201213453 31.091515872938341403 43.880449639180859833   102.14977241117314577 30.689925955022328452 39.161180602590306421   61.445499420166015625 33.1063995361328125 60.072299957275390625   102.14977241117313156 30.689925955022328452 39.161180602590306421   0.65010062339286855959 0.028385005454661247498 0.75931776676799977999   0.29628555501865899702 -0.068103129495221639833 -0.95266827051195601683   
61.445499420166015625 33.1063995361328125 60.072299957275390625   64.175573341175180531 33.409172875779979961 64.092161461421611079   66.783628155748061772 33.714729807939839645 68.191796108695911016   69.336205283961078294 34.022093142395270604 72.326242589255400617   72.107735135741222621 34.353448996159457351 76.313655812132935807   75.314352304155050888 34.765114059519859779 79.947235867644934615   79.226519654708937423 35.369287842863371907 82.747101948195691534   83.864923025084493702 36.225858583032547244 83.754406802003288135   88.43073475082704249 37.145351308342043239 82.478366879015169388   92.194549242728484728 37.899666394044622564 79.521177375869569914   94.941628106616661853 38.370756166708616774 75.549901399722685369   96.486100606160547954 38.439086326999593268 70.951554089405220793   96.786962000580018639 38.07467372787557025 66.118453289926492289   96.234462704916850839 37.417855772297336614 61.32880474802536952   95.536277186302598352 36.711747446723528299 56.563208634965455701   95.493551993853046156 36.209273876914245704 51.728068800218487411   96.237319691318973014 35.956876694803789007 46.926105037378079032   61.445499420166015625 33.1063995361328125 60.072299957275390625   96.237319691318973014 35.956876694803789007 46.926105037378079032   0.56533802129723342844 0.062063212264617043101 0.82252117259018087125   0.20446018535967866447 -0.034967910050847997305 -0.97825011007889028924   
61.045501708984375 33.406398773193359375 60.17230224609375   64.08240088279558222 33.570622371730642897 63.972377130635813103   66.710118853348262746 33.844760699747901356 68.059751915342232564   69.152275477661049763 34.163021090363479004 72.259603696372394666   71.815244922605316447 34.465408866355666362 76.322498983529598604   74.926500921471912875 34.783472070044396673 80.047419093720307615   78.773973405579326368 35.216572442977017943 82.966780093299519194   83.402438819273314152 35.879928530941626263 84.15819202912622643   88.037501694799232155 36.666878764312130556 83.068967445285423423   91.880836166849860547 37.361182138286736176 80.203649835117872158   94.667787670960322544 37.831245361665622795 76.260632250734644799   96.261209739725728696 37.984852183361070388 71.680176664304923406   96.616796434648605896 37.780538754934994472 66.841175750826451463   96.107235735896722417 37.32007137085137316 62.023836805857207821   95.421379653207694105 36.808067208035552653 57.231298477878965514   95.320454925999371198 36.446114303690379188 52.38395524765613942   96.050815588727076033 36.296635135722169707 47.57632544834365973   61.045501708984375 33.406398773193359375 60.17230224609375   96.050815588727076033 36.296635135722169707 47.576325448343673941   0.65382951372189201944 0.024881640999097502653 0.75623268305951041324   0.20917203177837873085 -0.015384851842701699823 -0.97775782658871313036   
61.545501708984375 32.806400299072265625 60.17230224609375   64.224814450872869998 33.279208688093596891 64.209887147395562579   66.795446451743870853 33.758595764766070602 68.316515702205620642   69.286141113120777391 34.241337515658948121 72.471973664082369737   71.967356621103576231 34.748987919458514284 76.502449185135276366   75.096085807218514674 35.351331365155616027 80.176803370869890841   78.930417828682450931 36.158694228524893788 83.034637211840845339   83.500751890200945127 37.197591400713115206 84.193527896153952383   88.107245595152249962 38.248985781160989461 83.18385275306579274   92.020063568997784387 39.131332952877450282 80.466492623266148598   94.912113168933046836 39.791402070317921869 76.628832752775792869   96.611382366851088932 40.202947534999658785 72.101538745483921389   97.15822949495698424 40.351692135204466183 67.275950338632895864   96.891857773636502316 40.308447021919363351 62.417521392822415294   96.429310127753069537 40.218376517661589276 57.572129353891725145   96.592031676342216429 40.293323379447748778 52.714172226391951881   97.607693391273187444 40.597078414777229227 47.966328288301916416   61.545501708984375 32.806400299072265625 60.17230224609375   97.607693391273187444 40.597078414777222122 47.966328288301923521   0.55472826086552695646 0.096821026435285714729 0.82637899624635113849   0.26947637954930475646 0.078793511715923025829 -0.95977813237042974848   
61.445499420166015625 33.1063995361328125 60.072299957275390625   63.964640296277174514 33.514443465513103604 64.217714339574911264   66.031561490750505072 34.076046314496387879 68.586119371107642451   67.64672659275265687 34.754622103892408802 73.128168710962597743   69.282778574004950656 35.445593132781816337 77.660854784898063485   71.304667605890173832 36.189185546990543685 82.023401802969672758   74.102885778900869695 37.169851554479123479 85.863648628989594158   77.964031129141744714 38.645547329528859848 88.362025993184275308   82.359426813967999692 40.595365005929828328 88.737133607606139662   86.406780339081265652 42.674300341258501135 87.087545091350293092   89.659063442798313304 44.540367136235332168 84.014637345530587709   91.856271002060339015 45.977740202583554208 79.937296425538463041   92.903164437043784574 46.902283077177756354 75.287172762549602112   93.083602924517094834 47.439203374058322993 70.455340937212753261   92.989091521640716564 47.853257408721951549 65.605281036435187048   93.320062626837028574 48.450700465909541492 60.789328368114084356   94.319874057581827742 49.326328502687246669 56.108666313700325645   61.445499420166015625 33.1063995361328125 60.072299957275390625   94.319874057581827742 49.326328502687246669 56.108666313700311434   0.53849016837483132392 0.075968497484144151266 0.83920028953382008741   0.25668849355333306361 0.20058090351540033835 -0.94545138342606827031   
60.94549942016600852 33.306400299072265625 60.17230224609375   63.476609644061952054 33.027249592402078804 64.313398272553456536   64.908718095156544337 33.082457977381288572 68.950594343268605257   65.335704925928553166 33.410016764921380172 73.784994079919911769   65.422630524040940259 33.795134319368187903 78.637641337949318654   65.742945266441168428 34.237332387986768367 83.473741240173481515   66.780423797855917201 34.992561784337169684 88.15721517739301305   69.080524092528989399 36.558032537667898509 92.107417828881921196   72.469184485773254778 39.094765579592511529 94.427838957865958491   76.158813889739519709 42.198461072916039427 94.838205907280951124   79.540653085319533488 45.44795782367087611 93.613487420267105676   82.275139793531707255 48.442686532583749681 90.961916720018379579   84.08469141177974393 50.640178290874978018 87.047748286529810002   84.875571258719020307 51.757858746707022135 82.392898614550190928   85.041994586161919756 52.188536780924252412 77.5478505964316156   85.280187974924160699 52.690203541533172427 72.713119365728047683   85.916057588268699874 53.596982106642485633 67.974011863218009921   60.94549942016600852 33.306400299072265625 60.17230224609375   85.916057588268671452 53.596982106642485633 67.974011863218024132   0.58949809246293594089 -0.079767945902288583948 0.80382154349649614922   0.16194940790745165904 0.21768429810881481656 -0.96248944702541916474   
61.2454986572265625 33.406398773193359375 60.172302246093742895   63.522115788671491998 33.196666244142868152 64.464345015696167707   64.770756402546979302 33.305597318327549772 69.15416623891023562   65.011825944917092102 33.672890349366682017 73.999187890560875758   64.928373449344576329 34.070484291094473406 78.850906265412262997   64.974017026478094294 34.545006789524293822 83.694454268359606885   65.721247489140395714 35.616813280542878317 88.364019624742638825   67.48226941699114434 37.950110164427378834 92.210161235810062408   69.919430815521380396 41.510105395341440726 94.369146340714806342   72.444002631092374145 45.633859744315380169 94.520603303431883546   74.70674131466337542 49.676505627504020879 93.081232379460757898   76.520422444244658777 53.270445005403111338 90.377693440863779983   77.576474928845456702 55.924711233459269977 86.471327802294169373   77.726062522843932356 57.344632949184578763 81.835934220543791184   77.283393386762583077 57.94209208103324471 77.026712944334221334   76.906449016483691139 58.608244564878589244 72.221511274214080345   77.001491548858993497 59.812874673480607157 67.509043118800306615   61.2454986572265625 33.406398773193359375 60.172302246093742895   77.001491548858993497 59.812874673480621368 67.509043118800320826   0.53138634116250726969 -0.063766618367887842322 0.84472621292809912941   0.063190229605438741345 0.29456982410794191329 -0.95353846991478485862   
